"Código","Departamento","Hacinamiento","Casa_A","viv_Departamento"
"02015","Comuna 15","0.51  -  0.99  personas por cuarto",5541,9296
"02015","Comuna 15","1.00  -  1.49  personas por cuarto",5908,17663
"02015","Comuna 15","1.50  -  1.99  personas por cuarto",1115,2878
"02015","Comuna 15","2.00  -  3.00  personas por cuarto",898,3533
"02015","Comuna 15","Más de  3.00 personas por cuarto",128,319
"02015","Comuna 15","Total",20060,50237
"06028","Almirante Brown","Hasta   0.50 personas por cuarto",21337,3450
"06028","Almirante Brown","0.51  -  0.99  personas por cuarto",21054,2579
"06028","Almirante Brown","1.00  -  1.49  personas por cuarto",37402,5713
"06028","Almirante Brown","1.50  -  1.99  personas por cuarto",10970,1532
"06028","Almirante Brown","2.00  -  3.00  personas por cuarto",13990,1377
"06028","Almirante Brown","Más de  3.00 personas por cuarto",2138,188
"06028","Almirante Brown","Total",106891,14839
"06035","Avellaneda","Hasta   0.50 personas por cuarto",16519,9465
"06035","Avellaneda","0.51  -  0.99  personas por cuarto",14734,6052
"06035","Avellaneda","1.00  -  1.49  personas por cuarto",23670,12041
"06035","Avellaneda","1.50  -  1.99  personas por cuarto",6154,2935
"06035","Avellaneda","2.00  -  3.00  personas por cuarto",6741,3163
"06035","Avellaneda","Más de  3.00 personas por cuarto",1121,455
"06035","Avellaneda","Total",68939,34111
"06091","Berazategui","Hasta   0.50 personas por cuarto",13315,845
"06091","Berazategui","0.51  -  0.99  personas por cuarto",13827,770
"06091","Berazategui","1.00  -  1.49  personas por cuarto",25253,1431
"06091","Berazategui","1.50  -  1.99  personas por cuarto",8383,482
"06091","Berazategui","2.00  -  3.00  personas por cuarto",10732,535
"06091","Berazategui","Más de  3.00 personas por cuarto",2096,134
"06091","Berazategui","Total",73606,4197
"06260","Esteban Echeverría","Hasta   0.50 personas por cuarto",10674,1080
"06260","Esteban Echeverría","0.51  -  0.99  personas por cuarto",11451,823
"06260","Esteban Echeverría","1.00  -  1.49  personas por cuarto",20910,1909
"06260","Esteban Echeverría","1.50  -  1.99  personas por cuarto",6765,451
"06260","Esteban Echeverría","2.00  -  3.00  personas por cuarto",8328,722
"06260","Esteban Echeverría","Más de  3.00 personas por cuarto",1596,244
"06260","Esteban Echeverría","Total",59724,5229
"06270","Ezeiza","Hasta   0.50 personas por cuarto",4457,307
"06270","Ezeiza","0.51  -  0.99  personas por cuarto",4608,330
"06270","Ezeiza","1.00  -  1.49  personas por cuarto",8821,1056
"06270","Ezeiza","1.50  -  1.99  personas por cuarto",3787,129
"06270","Ezeiza","2.00  -  3.00  personas por cuarto",4049,269
"06270","Ezeiza","Más de  3.00 personas por cuarto",828,43
"06270","Ezeiza","Total",26550,2134
"06274","Florencio Varela","Hasta   0.50 personas por cuarto",9354,1109
"06274","Florencio Varela","0.51  -  0.99  personas por cuarto",10966,790
"06274","Florencio Varela","1.00  -  1.49  personas por cuarto",23753,1815
"06274","Florencio Varela","1.50  -  1.99  personas por cuarto",9952,530
"06274","Florencio Varela","2.00  -  3.00  personas por cuarto",13071,554
"06274","Florencio Varela","Más de  3.00 personas por cuarto",2611,94
"06274","Florencio Varela","Total",69707,4892
"06371","General San Martín","Hasta   0.50 personas por cuarto",21739,5483
"06371","General San Martín","0.51  -  0.99  personas por cuarto",19248,3340
"06371","General San Martín","1.00  -  1.49  personas por cuarto",32194,8762
"06371","General San Martín","1.50  -  1.99  personas por cuarto",9067,2342
"06371","General San Martín","2.00  -  3.00  personas por cuarto",11837,2210
"06371","General San Martín","Más de  3.00 personas por cuarto",1535,234
"06371","General San Martín","Total",95620,22371
"06408","Hurlingham","Hasta   0.50 personas por cuarto",9682,873
"06408","Hurlingham","0.51  -  0.99  personas por cuarto",9759,658
"06408","Hurlingham","1.00  -  1.49  personas por cuarto",15280,1814
"06408","Hurlingham","1.50  -  1.99  personas por cuarto",4224,308
"06408","Hurlingham","2.00  -  3.00  personas por cuarto",4305,646
"06408","Hurlingham","Más de  3.00 personas por cuarto",573,74
"06408","Hurlingham","Total",43823,4373
"06410","Ituzaingó","Hasta   0.50 personas por cuarto",10720,338
"06410","Ituzaingó","0.51  -  0.99  personas por cuarto",11678,191
"06410","Ituzaingó","1.00  -  1.49  personas por cuarto",14173,475
"06410","Ituzaingó","1.50  -  1.99  personas por cuarto",3835,123
"06410","Ituzaingó","2.00  -  3.00  personas por cuarto",4187,173
"06410","Ituzaingó","Más de  3.00 personas por cuarto",388,30
"06410","Ituzaingó","Total",44981,1330
"06412","José C. Paz","Hasta   0.50 personas por cuarto",7710,157
"06412","José C. Paz","0.51  -  0.99  personas por cuarto",8768,80
"06412","José C. Paz","1.00  -  1.49  personas por cuarto",16649,270
"06412","José C. Paz","1.50  -  1.99  personas por cuarto",6122,111
"06412","José C. Paz","2.00  -  3.00  personas por cuarto",7172,199
"06412","José C. Paz","Más de  3.00 personas por cuarto",998,53
"06412","José C. Paz","Total",47419,870
"06427","La Matanza","Hasta   0.50 personas por cuarto",45592,12589
"06427","La Matanza","0.51  -  0.99  personas por cuarto",54706,8363
"06427","La Matanza","1.00  -  1.49  personas por cuarto",114087,22003
"06427","La Matanza","1.50  -  1.99  personas por cuarto",41395,5702
"06427","La Matanza","2.00  -  3.00  personas por cuarto",48623,7901
"06427","La Matanza","Más de  3.00 personas por cuarto",8745,1344
"06427","La Matanza","Total",313148,57902
"06434","Lanús","Hasta   0.50 personas por cuarto",24786,7093
"06434","Lanús","0.51  -  0.99  personas por cuarto",23408,4296
"06434","Lanús","1.00  -  1.49  personas por cuarto",37973,9958
"06434","Lanús","1.50  -  1.99  personas por cuarto",10144,2239
"06434","Lanús","2.00  -  3.00  personas por cuarto",11180,2326
"06434","Lanús","Más de  3.00 personas por cuarto",1727,297
"06434","Lanús","Total",109218,26209
"06490","Lomas de Zamora","Hasta   0.50 personas por cuarto",28303,5490
"06490","Lomas de Zamora","0.51  -  0.99  personas por cuarto",27267,3038
"06490","Lomas de Zamora","1.00  -  1.49  personas por cuarto",41789,5449
"06490","Lomas de Zamora","1.50  -  1.99  personas por cuarto",13353,907
"06490","Lomas de Zamora","2.00  -  3.00  personas por cuarto",17758,1346
"06490","Lomas de Zamora","Más de  3.00 personas por cuarto",3166,162
"06490","Lomas de Zamora","Total",131636,16392
"06515","Malvinas Argentinas","Hasta   0.50 personas por cuarto",10796,273
"06515","Malvinas Argentinas","0.51  -  0.99  personas por cuarto",11903,208
"06515","Malvinas Argentinas","1.00  -  1.49  personas por cuarto",22475,746
"06515","Malvinas Argentinas","1.50  -  1.99  personas por cuarto",7536,327
"06515","Malvinas Argentinas","2.00  -  3.00  personas por cuarto",9443,442
"06515","Malvinas Argentinas","Más de  3.00 personas por cuarto",1400,110
"06515","Malvinas Argentinas","Total",63553,2106
"06539","Merlo","Hasta   0.50 personas por cuarto",16503,1340
"06539","Merlo","0.51  -  0.99  personas por cuarto",17944,754
"06539","Merlo","1.00  -  1.49  personas por cuarto",35446,2060
"06539","Merlo","1.50  -  1.99  personas por cuarto",12390,465
"06539","Merlo","2.00  -  3.00  personas por cuarto",15645,1153
"06539","Merlo","Más de  3.00 personas por cuarto",2601,147
"06539","Merlo","Total",100529,5919
"06560","Moreno","Hasta   0.50 personas por cuarto",12868,694
"06560","Moreno","0.51  -  0.99  personas por cuarto",13978,515
"06560","Moreno","1.00  -  1.49  personas por cuarto",28486,1541
"06560","Moreno","1.50  -  1.99  personas por cuarto",9880,500
"06560","Moreno","2.00  -  3.00  personas por cuarto",13857,660
"06560","Moreno","Más de  3.00 personas por cuarto",2341,111
"06560","Moreno","Total",81410,4021
"06568","Morón","Hasta   0.50 personas por cuarto",20685,5784
"06568","Morón","0.51  -  0.99  personas por cuarto",20071,3548
"06568","Morón","1.00  -  1.49  personas por cuarto",26148,7324
"06568","Morón","1.50  -  1.99  personas por cuarto",6876,2218
"06568","Morón","2.00  -  3.00  personas por cuarto",5696,1910
"06568","Morón","Más de  3.00 personas por cuarto",555,200
"06568","Morón","Total",80031,20984
"06658","Quilmes","Hasta   0.50 personas por cuarto",27416,4874
"06658","Quilmes","0.51  -  0.99  personas por cuarto",27535,3130
"06658","Quilmes","1.00  -  1.49  personas por cuarto",43003,5817
"06658","Quilmes","1.50  -  1.99  personas por cuarto",12565,1015
"06658","Quilmes","2.00  -  3.00  personas por cuarto",15049,1685
"06658","Quilmes","Más de  3.00 personas por cuarto",2510,277
"06658","Quilmes","Total",128078,16798
"06749","San Fernando","Hasta   0.50 personas por cuarto",6522,2727
"06749","San Fernando","0.51  -  0.99  personas por cuarto",6615,1390
"06749","San Fernando","1.00  -  1.49  personas por cuarto",11132,3275
"06749","San Fernando","1.50  -  1.99  personas por cuarto",3373,910
"06749","San Fernando","2.00  -  3.00  personas por cuarto",5074,1206
"06749","San Fernando","Más de  3.00 personas por cuarto",1006,166
"06749","San Fernando","Total",33722,9674
"06756","San Isidro","Hasta   0.50 personas por cuarto",21671,7869
"06756","San Isidro","0.51  -  0.99  personas por cuarto",20231,3820
"06756","San Isidro","1.00  -  1.49  personas por cuarto",19815,7176
"06756","San Isidro","1.50  -  1.99  personas por cuarto",4074,1283
"06756","San Isidro","2.00  -  3.00  personas por cuarto",4574,1531
"06756","San Isidro","Más de  3.00 personas por cuarto",774,142
