"Código","Departamento","Hacinamiento","Casa_A","viv_Departamento"
"010056","El Alto","3. 1,00-1,49  personas por cuarto",318,4
"010056","El Alto","4. 1,50-1,99  personas por cuarto",132,0
"010056","El Alto","5. 2,00-3,00  personas por cuarto",132,2
"010056","El Alto","6. Más de 3,00  personas por cuarto",19,0
"010063","Fray Mamerto Esquiú","0. __tot__",3715,37
"010063","Fray Mamerto Esquiú","1. Hasta  0,50  personas por cuarto",912,3
"010063","Fray Mamerto Esquiú","2. 0,51-0,99  personas por cuarto",679,2
"010063","Fray Mamerto Esquiú","3. 1,00-1,49  personas por cuarto",1197,11
"010063","Fray Mamerto Esquiú","4. 1,50-1,99  personas por cuarto",394,8
"010063","Fray Mamerto Esquiú","5. 2,00-3,00  personas por cuarto",474,11
"010063","Fray Mamerto Esquiú","6. Más de 3,00  personas por cuarto",59,2
"010070","La Paz","0. __tot__",5645,267
"010070","La Paz","1. Hasta  0,50  personas por cuarto",1322,44
"010070","La Paz","2. 0,51-0,99  personas por cuarto",941,13
"010070","La Paz","3. 1,00-1,49  personas por cuarto",1725,88
"010070","La Paz","4. 1,50-1,99  personas por cuarto",644,21
"010070","La Paz","5. 2,00-3,00  personas por cuarto",873,79
"010070","La Paz","6. Más de 3,00  personas por cuarto",140,22
"010077","Paclín","0. __tot__",1298,12
"010077","Paclín","1. Hasta  0,50  personas por cuarto",381,0
"010077","Paclín","2. 0,51-0,99  personas por cuarto",234,0
"010077","Paclín","3. 1,00-1,49  personas por cuarto",383,4
"010077","Paclín","4. 1,50-1,99  personas por cuarto",144,1
"010077","Paclín","5. 2,00-3,00  personas por cuarto",140,6
"010077","Paclín","6. Más de 3,00  personas por cuarto",16,1
"010084","Pomán","0. __tot__",2999,91
"010084","Pomán","1. Hasta  0,50  personas por cuarto",777,22
"010084","Pomán","2. 0,51-0,99  personas por cuarto",515,6
"010084","Pomán","3. 1,00-1,49  personas por cuarto",916,34
"010084","Pomán","4. 1,50-1,99  personas por cuarto",338,12
"010084","Pomán","5. 2,00-3,00  personas por cuarto",407,14
"010084","Pomán","6. Más de 3,00  personas por cuarto",46,3
"010091","Santa María","0. __tot__",6306,541
"010091","Santa María","1. Hasta  0,50  personas por cuarto",1767,116
"010091","Santa María","2. 0,51-0,99  personas por cuarto",1211,45
"010091","Santa María","3. 1,00-1,49  personas por cuarto",1897,189
"010091","Santa María","4. 1,50-1,99  personas por cuarto",688,70
"010091","Santa María","5. 2,00-3,00  personas por cuarto",655,105
"010091","Santa María","6. Más de 3,00  personas por cuarto",88,16
"010098","Santa Rosa","0. __tot__",3167,74
"010098","Santa Rosa","1. Hasta  0,50  personas por cuarto",768,10
"010098","Santa Rosa","2. 0,51-0,99  personas por cuarto",469,6
"010098","Santa Rosa","3. 1,00-1,49  personas por cuarto",1030,29
"010098","Santa Rosa","4. 1,50-1,99  personas por cuarto",414,3
"010098","Santa Rosa","5. 2,00-3,00  personas por cuarto",427,20
"010098","Santa Rosa","6. Más de 3,00  personas por cuarto",59,6
"010105","Tinogasta","0. __tot__",6279,163
"010105","Tinogasta","1. Hasta  0,50  personas por cuarto",1996,46
"010105","Tinogasta","2. 0,51-0,99  personas por cuarto",1190,9
"010105","Tinogasta","3. 1,00-1,49  personas por cuarto",1725,52
"010105","Tinogasta","4. 1,50-1,99  personas por cuarto",612,15
"010105","Tinogasta","5. 2,00-3,00  personas por cuarto",641,37
"010105","Tinogasta","6. Más de 3,00  personas por cuarto",115,4
"010112","Valle Viejo","0. __tot__",8736,256
"010112","Valle Viejo","1. Hasta  0,50  personas por cuarto",2229,43
"010112","Valle Viejo","2. 0,51-0,99  personas por cuarto",1655,15
"010112","Valle Viejo","3. 1,00-1,49  personas por cuarto",2661,93
"010112","Valle Viejo","4. 1,50-1,99  personas por cuarto",1022,25
"010112","Valle Viejo","5. 2,00-3,00  personas por cuarto",1016,57
"010112","Valle Viejo","6. Más de 3,00  personas por cuarto",153,23
"014007","Calamuchita","0. __tot__",23845,1941
"014007","Calamuchita","1. Hasta  0,50  personas por cuarto",7661,536
"014007","Calamuchita","2. 0,51-0,99  personas por cuarto",4139,151
"014007","Calamuchita","3. 1,00-1,49  personas por cuarto",7121,717
"014007","Calamuchita","4. 1,50-1,99  personas por cuarto",2026,135
"014007","Calamuchita","5. 2,00-3,00  personas por cuarto",2508,354
"014007","Calamuchita","6. Más de 3,00  personas por cuarto",390,48
"014014","Capital","0. __tot__",351194,168525
"014014","Capital","1. Hasta  0,50  personas por cuarto",111466,75113
"014014","Capital","2. 0,51-0,99  personas por cuarto",72800,19642
"014014","Capital","3. 1,00-1,49  personas por cuarto",96861,50301
"014014","Capital","4. 1,50-1,99  personas por cuarto",30006,7806
"014014","Capital","5. 2,00-3,00  personas por cuarto",34310,13806
"014014","Capital","6. Más de 3,00  personas por cuarto",5751,1857
"014021","Colón","0. __tot__",80234,9297
"014021","Colón","1. Hasta  0,50  personas por cuarto",22315,2728
"014021","Colón","2. 0,51-0,99  personas por cuarto",16528,994
"014021","Colón","3. 1,00-1,49  personas por cuarto",24126,3057
"014021","Colón","4. 1,50-1,99  personas por cuarto",7194,697
"014021","Colón","5. 2,00-3,00  personas por cuarto",8524,1539
"014021","Colón","6. Más de 3,00  personas por cuarto",1547,282
"014028","Cruz del Eje","0. __tot__",16845,1053
"014028","Cruz del Eje","1. Hasta  0,50  personas por cuarto",4703,271
"014028","Cruz del Eje","2. 0,51-0,99  personas por cuarto",2568,65
"014028","Cruz del Eje","3. 1,00-1,49  personas por cuarto",4863,374
"014028","Cruz del Eje","4. 1,50-1,99  personas por cuarto",1922,110
"014028","Cruz del Eje","5. 2,00-3,00  personas por cuarto",2372,202
"014028","Cruz del Eje","6. Más de 3,00  personas por cuarto",417,31
"014035","General Roca","0. __tot__",12217,256
"014035","General Roca","1. Hasta  0,50  personas por cuarto",4274,70
"014035","General Roca","2. 0,51-0,99  personas por cuarto",2101,14
"014035","General Roca","3. 1,00-1,49  personas por cuarto",3345,84
"014035","General Roca","4. 1,50-1,99  personas por cuarto",1064,21
"014035","General Roca","5. 2,00-3,00  personas por cuarto",1275,65
"014035","General Roca","6. Más de 3,00  personas por cuarto",158,2
"014042","General San Martín","0. __tot__",43130,12020
"014042","General San Martín","1. Hasta  0,50  personas por cuarto",14932,4437
"014042","General San Martín","2. 0,51-0,99  personas por cuarto",8469,1041
"014042","General San Martín","3. 1,00-1,49  personas por cuarto",11768,4022
"014042","General San Martín","4. 1,50-1,99  personas por cuarto",3356,678
"014042","General San Martín","5. 2,00-3,00  personas por cuarto",4045,1629
"014042","General San Martín","6. Más de 3,00  personas por cuarto",560,213
"014049","Ischilín","0. __tot__",9492,555
"014049","Ischilín","1. Hasta  0,50  personas por cuarto",2780,134
"014049","Ischilín","2. 0,51-0,99  personas por cuarto",1642,44
"014049","Ischilín","3. 1,00-1,49  personas por cuarto",2693,203
"014049","Ischilín","4. 1,50-1,99  personas por cuarto",971,39
"014049","Ischilín","5. 2,00-3,00  personas por cuarto",1170,115
"014049","Ischilín","6. Más de 3,00  personas por cuarto",236,20
"014056","Juárez Celman","0. __tot__",21872,1962
"014056","Juárez Celman","1. Hasta  0,50  personas por cuarto",7688,492
"014056","Juárez Celman","2. 0,51-0,99  personas por cuarto",4050,124
"014056","Juárez Celman","3. 1,00-1,49  personas por cuarto",6005,664
"014056","Juárez Celman","4. 1,50-1,99  personas por cuarto",1838,163
"014056","Juárez Celman","5. 2,00-3,00  personas por cuarto",2032,433
"014056","Juárez Celman","6. Más de 3,00  personas por cuarto",259,86
"014063","Marcos Juárez","0. __tot__",37798,2350
"014063","Marcos Juárez","1. Hasta  0,50  personas por cuarto",15435,900
"014063","Marcos Juárez","2. 0,51-0,99  personas por cuarto",7332,152
"014063","Marcos Juárez","3. 1,00-1,49  personas por cuarto",9518,821
"014063","Marcos Juárez","4. 1,50-1,99  personas por cuarto",2533,87
"014063","Marcos Juárez","5. 2,00-3,00  personas por cuarto",2687,343
"014063","Marcos Juárez","6. Más de 3,00  personas por cuarto",293,47
"014070","Minas","0. __tot__",1355,26
"014070","Minas","1. Hasta  0,50  personas por cuarto",409,3
"014070","Minas","2. 0,51-0,99  personas por cuarto",221,0
"014070","Minas","3. 1,00-1,49  personas por cuarto",424,14
"014070","Minas","4. 1,50-1,99  personas por cuarto",127,4
"014070","Minas","5. 2,00-3,00  personas por cuarto",155,2
"014070","Minas","6. Más de 3,00  personas por cuarto",19,3
"014077","Pocho","0. __tot__",1453,57
"014077","Pocho","1. Hasta  0,50  personas por cuarto",465,8
"014077","Pocho","2. 0,51-0,99  personas por cuarto",233,3
"014077","Pocho","3. 1,00-1,49  personas por cuarto",442,28
"014077","Pocho","4. 1,50-1,99  personas por cuarto",151,4
"014077","Pocho","5. 2,00-3,00  personas por cuarto",146,13
"014077","Pocho","6. Más de 3,00  personas por cuarto",16,1
"014084","Presidente Roque Sáenz Peña","0. __tot__",12203,852
"014084","Presidente Roque Sáenz Peña","1. Hasta  0,50  personas por cuarto",4459,267
"014084","Presidente Roque Sáenz Peña","2. 0,51-0,99  personas por cuarto",2284,52
"014084","Presidente Roque Sáenz Peña","3. 1,00-1,49  personas por cuarto",3272,326
"014084","Presidente Roque Sáenz Peña","4. 1,50-1,99  personas por cuarto",966,33
"014084","Presidente Roque Sáenz Peña","5. 2,00-3,00  personas por cuarto",1100,156
"014084","Presidente Roque Sáenz Peña","6. Más de 3,00  personas por cuarto",122,18
"014091","Punilla","0. __tot__",65183,11966
"014091","Punilla","1. Hasta  0,50  personas por cuarto",20466,4022
"014091","Punilla","2. 0,51-0,99  personas por cuarto",11709,1167
"014091","Punilla","3. 1,00-1,49  personas por cuarto",19281,4195
"014091","Punilla","4. 1,50-1,99  personas por cuarto",5642,759
"014091","Punilla","5. 2,00-3,00  personas por cuarto",7037,1623
"014091","Punilla","6. Más de 3,00  personas por cuarto",1048,200
"014098","Río Cuarto","0. __tot__",82759,17899
"014098","Río Cuarto","1. Hasta  0,50  personas por cuarto",29406,7784
"014098","Río Cuarto","2. 0,51-0,99  personas por cuarto",16335,1765
"014098","Río Cuarto","3. 1,00-1,49  personas por cuarto",22276,5617
"014098","Río Cuarto","4. 1,50-1,99  personas por cuarto",6407,775
"014098","Río Cuarto","5. 2,00-3,00  personas por cuarto",7333,1787
"014098","Río Cuarto","6. Más de 3,00  personas por cuarto",1002,171
"014105","Río Primero","0. __tot__",15926,1397
"014105","Río Primero","1. Hasta  0,50  personas por cuarto",4419,318
"014105","Río Primero","2. 0,51-0,99  personas por cuarto",2745,93
"014105","Río Primero","3. 1,00-1,49  personas por cuarto",4810,471
"014105","Río Primero","4. 1,50-1,99  personas por cuarto",1628,167
"014105","Río Primero","5. 2,00-3,00  personas por cuarto",1971,294
"014105","Río Primero","6. Más de 3,00  personas por cuarto",353,54
"014112","Río Seco","0. __tot__",3967,93
"014112","Río Seco","1. Hasta  0,50  personas por cuarto",996,20
"014112","Río Seco","2. 0,51-0,99  personas por cuarto",573,2
"014112","Río Seco","3. 1,00-1,49  personas por cuarto",1254,31
"014112","Río Seco","4. 1,50-1,99  personas por cuarto",449,13
"014112","Río Seco","5. 2,00-3,00  personas por cuarto",597,17
"014112","Río Seco","6. Más de 3,00  personas por cuarto",98,10
"014119","Río Segundo","0. __tot__",35241,3279
"014119","Río Segundo","1. Hasta  0,50  personas por cuarto",12015,987
"014119","Río Segundo","2. 0,51-0,99  personas por cuarto",7004,289
"014119","Río Segundo","3. 1,00-1,49  personas por cuarto",9778,1145
"014119","Río Segundo","4. 1,50-1,99  personas por cuarto",2841,252
"014119","Río Segundo","5. 2,00-3,00  personas por cuarto",3169,523
"014119","Río Segundo","6. Más de 3,00  personas por cuarto",434,83
"014126","San Alberto","0. __tot__",12228,795
"014126","San Alberto","1. Hasta  0,50  personas por cuarto",3081,161
"014126","San Alberto","2. 0,51-0,99  personas por cuarto",1732,42
"014126","San Alberto","3. 1,00-1,49  personas por cuarto",3938,306
"014126","San Alberto","4. 1,50-1,99  personas por cuarto",1395,65
"014126","San Alberto","5. 2,00-3,00  personas por cuarto",1853,186
"014126","San Alberto","6. Más de 3,00  personas por cuarto",229,35
"014133","San Javier","0. __tot__",18356,1568
"014133","San Javier","1. Hasta  0,50  personas por cuarto",5537,489
"014133","San Javier","2. 0,51-0,99  personas por cuarto",3066,121
"014133","San Javier","3. 1,00-1,49  personas por cuarto",5648,563
"014133","San Javier","4. 1,50-1,99  personas por cuarto",1768,127
"014133","San Javier","5. 2,00-3,00  personas por cuarto",2053,240
"014133","San Javier","6. Más de 3,00  personas por cuarto",284,28
"014140","San Justo","0. __tot__",70554,10904
"014140","San Justo","1. Hasta  0,50  personas por cuarto",26184,3831
"014140","San Justo","2. 0,51-0,99  personas por cuarto",13983,927
"014140","San Justo","3. 1,00-1,49  personas por cuarto",18626,3539
"014140","San Justo","4. 1,50-1,99  personas por cuarto",5241,763
"014140","San Justo","5. 2,00-3,00  personas por cuarto",5825,1566
"014140","San Justo","6. Más de 3,00  personas por cuarto",695,278
"014147","Santa María","0. __tot__",38509,3914
"014147","Santa María","1. Hasta  0,50  personas por cuarto",10609,1174
"014147","Santa María","2. 0,51-0,99  personas por cuarto",7148,336
"014147","Santa María","3. 1,00-1,49  personas por cuarto",11742,1270
"014147","Santa María","4. 1,50-1,99  personas por cuarto",3631,299
"014147","Santa María","5. 2,00-3,00  personas por cuarto",4576,722
"014147","Santa María","6. Más de 3,00  personas por cuarto",803,113
"014154","Sobremonte","0. __tot__",1187,26
"014154","Sobremonte","1. Hasta  0,50  personas por cuarto",326,6
"014154","Sobremonte","2. 0,51-0,99  personas por cuarto",204,0
"014154","Sobremonte","3. 1,00-1,49  personas por cuarto",320,7
"014154","Sobremonte","4. 1,50-1,99  personas por cuarto",124,2
"014154","Sobremonte","5. 2,00-3,00  personas por cuarto",178,10
"014154","Sobremonte","6. Más de 3,00  personas por cuarto",35,1
"014161","Tercero Arriba","0. __tot__",38728,4719
"014161","Tercero Arriba","1. Hasta  0,50  personas por cuarto",14835,1539
"014161","Tercero Arriba","2. 0,51-0,99  personas por cuarto",7692,374
"014161","Tercero Arriba","3. 1,00-1,49  personas por cuarto",10000,1654
"014161","Tercero Arriba","4. 1,50-1,99  personas por cuarto",2797,313
"014161","Tercero Arriba","5. 2,00-3,00  personas por cuarto",3031,704
"014161","Tercero Arriba","6. Más de 3,00  personas por cuarto",373,135
"014168","Totoral","0. __tot__",6415,386
"014168","Totoral","1. Hasta  0,50  personas por cuarto",1715,91
"014168","Totoral","2. 0,51-0,99  personas por cuarto",1163,31
"014168","Totoral","3. 1,00-1,49  personas por cuarto",1965,128
"014168","Totoral","4. 1,50-1,99  personas por cuarto",665,34
"014168","Totoral","5. 2,00-3,00  personas por cuarto",776,83
"014168","Totoral","6. Más de 3,00  personas por cuarto",131,19
"014175","Tulumba","0. __tot__",4102,120
"014175","Tulumba","1. Hasta  0,50  personas por cuarto",1194,30
"014175","Tulumba","2. 0,51-0,99  personas por cuarto",619,7
"014175","Tulumba","3. 1,00-1,49  personas por cuarto",1254,41
"014175","Tulumba","4. 1,50-1,99  personas por cuarto",429,10
"014175","Tulumba","5. 2,00-3,00  personas por cuarto",540,25
"014175","Tulumba","6. Más de 3,00  personas por cuarto",66,7
"014182","Unión","0. __tot__",37548,2739
"014182","Unión","1. Hasta  0,50  personas por cuarto",13655,968
"014182","Unión","2. 0,51-0,99  personas por cuarto",6931,248
"014182","Unión","3. 1,00-1,49  personas por cuarto",10205,898
"014182","Unión","4. 1,50-1,99  personas por cuarto",2995,188
"014182","Unión","5. 2,00-3,00  personas por cuarto",3380,388
"014182","Unión","6. Más de 3,00  personas por cuarto",382,49
"018007","Bella Vista","0. __tot__",9548,661
"018007","Bella Vista","1. Hasta  0,50  personas por cuarto",2234,164
"018007","Bella Vista","2. 0,51-0,99  personas por cuarto",1591,27
"018007","Bella Vista","3. 1,00-1,49  personas por cuarto",2960,233
"018007","Bella Vista","4. 1,50-1,99  personas por cuarto",1176,52
"018007","Bella Vista","5. 2,00-3,00  personas por cuarto",1363,150
"018007","Bella Vista","6. Más de 3,00  personas por cuarto",224,35
"018014","Berón de Astrada","0. __tot__",644,2
"018014","Berón de Astrada","1. Hasta  0,50  personas por cuarto",191,1
"018014","Berón de Astrada","2. 0,51-0,99  personas por cuarto",118,0
"018014","Berón de Astrada","3. 1,00-1,49  personas por cuarto",192,1
"018014","Berón de Astrada","4. 1,50-1,99  personas por cuarto",59,0
"018014","Berón de Astrada","5. 2,00-3,00  personas por cuarto",69,0
"018014","Berón de Astrada","6. Más de 3,00  personas por cuarto",15,0
"018021","Capital","0. __tot__",89791,24498
"018021","Capital","1. Hasta  0,50  personas por cuarto",20716,8660
"018021","Capital","2. 0,51-0,99  personas por cuarto",16651,3157
"018021","Capital","3. 1,00-1,49  personas por cuarto",28063,8602
"018021","Capital","4. 1,50-1,99  personas por cuarto",10246,1341
"018021","Capital","5. 2,00-3,00  personas por cuarto",11769,2405
"018021","Capital","6. Más de 3,00  personas por cuarto",2346,333
"018028","Concepción","0. __tot__",4036,52
"018028","Concepción","1. Hasta  0,50  personas por cuarto",849,13
"018028","Concepción","2. 0,51-0,99  personas por cuarto",650,1
"018028","Concepción","3. 1,00-1,49  personas por cuarto",1393,24
"018028","Concepción","4. 1,50-1,99  personas por cuarto",499,4
"018028","Concepción","5. 2,00-3,00  personas por cuarto",547,10
"018028","Concepción","6. Más de 3,00  personas por cuarto",98,0
"018035","Curuzú Cuatiá","0. __tot__",12468,771
"018035","Curuzú Cuatiá","1. Hasta  0,50  personas por cuarto",3543,234
"018035","Curuzú Cuatiá","2. 0,51-0,99  personas por cuarto",2293,65
"018035","Curuzú Cuatiá","3. 1,00-1,49  personas por cuarto",3721,277
"018035","Curuzú Cuatiá","4. 1,50-1,99  personas por cuarto",1263,59
"018035","Curuzú Cuatiá","5. 2,00-3,00  personas por cuarto",1431,117
"018035","Curuzú Cuatiá","6. Más de 3,00  personas por cuarto",217,19
"018042","Empedrado","0. __tot__",3812,40
"018042","Empedrado","1. Hasta  0,50  personas por cuarto",1013,11
"018042","Empedrado","2. 0,51-0,99  personas por cuarto",653,1
"018042","Empedrado","3. 1,00-1,49  personas por cuarto",1203,14
"018042","Empedrado","4. 1,50-1,99  personas por cuarto",422,3
"018042","Empedrado","5. 2,00-3,00  personas por cuarto",459,10
"018042","Empedrado","6. Más de 3,00  personas por cuarto",62,1
"018049","Esquina","0. __tot__",7336,355
"018049","Esquina","1. Hasta  0,50  personas por cuarto",1987,80
"018049","Esquina","2. 0,51-0,99  personas por cuarto",1338,30
"018049","Esquina","3. 1,00-1,49  personas por cuarto",2133,113
"018049","Esquina","4. 1,50-1,99  personas por cuarto",782,31
"018049","Esquina","5. 2,00-3,00  personas por cuarto",940,78
"018049","Esquina","6. Más de 3,00  personas por cuarto",156,23
"018056","General Alvear","0. __tot__",2393,43
"018056","General Alvear","1. Hasta  0,50  personas por cuarto",789,11
"018056","General Alvear","2. 0,51-0,99  personas por cuarto",430,0
"018056","General Alvear","3. 1,00-1,49  personas por cuarto",649,15
"018056","General Alvear","4. 1,50-1,99  personas por cuarto",236,5
"018056","General Alvear","5. 2,00-3,00  personas por cuarto",258,9
"018056","General Alvear","6. Más de 3,00  personas por cuarto",31,3
"018063","General Paz","0. __tot__",3757,87
"018063","General Paz","1. Hasta  0,50  personas por cuarto",955,24
"018063","General Paz","2. 0,51-0,99  personas por cuarto",619,0
"018063","General Paz","3. 1,00-1,49  personas por cuarto",1218,23
"018063","General Paz","4. 1,50-1,99  personas por cuarto",407,9
"018063","General Paz","5. 2,00-3,00  personas por cuarto",495,22
"018063","General Paz","6. Más de 3,00  personas por cuarto",63,9
"018070","Goya","0. __tot__",23037,2128
"018070","Goya","1. Hasta  0,50  personas por cuarto",5912,592
"018070","Goya","2. 0,51-0,99  personas por cuarto",4227,153
"018070","Goya","3. 1,00-1,49  personas por cuarto",7088,730
"018070","Goya","4. 1,50-1,99  personas por cuarto",2436,155
"018070","Goya","5. 2,00-3,00  personas por cuarto",2848,425
"018070","Goya","6. Más de 3,00  personas por cuarto",526,73
"018077","Itatí","0. __tot__",2739,37
"018077","Itatí","1. Hasta  0,50  personas por cuarto",694,8
"018077","Itatí","2. 0,51-0,99  personas por cuarto",445,4
"018077","Itatí","3. 1,00-1,49  personas por cuarto",896,13
"018077","Itatí","4. 1,50-1,99  personas por cuarto",282,5
"018077","Itatí","5. 2,00-3,00  personas por cuarto",374,7
"018077","Itatí","6. Más de 3,00  personas por cuarto",48,0
"018084","Ituzaingó","0. __tot__",8862,619
"018084","Ituzaingó","1. Hasta  0,50  personas por cuarto",2331,186
"018084","Ituzaingó","2. 0,51-0,99  personas por cuarto",1497,48
"018084","Ituzaingó","3. 1,00-1,49  personas por cuarto",2767,212
"018084","Ituzaingó","4. 1,50-1,99  personas por cuarto",1017,54
"018084","Ituzaingó","5. 2,00-3,00  personas por cuarto",1087,101
"018084","Ituzaingó","6. Más de 3,00  personas por cuarto",163,18
"018091","Lavalle","0. __tot__",5956,302
"018091","Lavalle","1. Hasta  0,50  personas por cuarto",1159,50
"018091","Lavalle","2. 0,51-0,99  personas por cuarto",960,20
"018091","Lavalle","3. 1,00-1,49  personas por cuarto",1990,80
"018091","Lavalle","4. 1,50-1,99  personas por cuarto",766,42
"018091","Lavalle","5. 2,00-3,00  personas por cuarto",886,78
"018091","Lavalle","6. Más de 3,00  personas por cuarto",195,32
"018098","Mburucuyá","0. __tot__",2650,46
"018098","Mburucuyá","1. Hasta  0,50  personas por cuarto",700,13
"018098","Mburucuyá","2. 0,51-0,99  personas por cuarto",418,1
"018098","Mburucuyá","3. 1,00-1,49  personas por cuarto",796,17
"018098","Mburucuyá","4. 1,50-1,99  personas por cuarto",315,5
"018098","Mburucuyá","5. 2,00-3,00  personas por cuarto",368,9
"018098","Mburucuyá","6. Más de 3,00  personas por cuarto",53,1
"018105","Mercedes","0. __tot__",12520,402
"018105","Mercedes","1. Hasta  0,50  personas por cuarto",3551,157
"018105","Mercedes","2. 0,51-0,99  personas por cuarto",2162,34
"018105","Mercedes","3. 1,00-1,49  personas por cuarto",3693,114
"018105","Mercedes","4. 1,50-1,99  personas por cuarto",1355,28
"018105","Mercedes","5. 2,00-3,00  personas por cuarto",1496,61
"018105","Mercedes","6. Más de 3,00  personas por cuarto",263,8
"018112","Monte Caseros","0. __tot__",11463,889
"018112","Monte Caseros","1. Hasta  0,50  personas por cuarto",3104,210
"018112","Monte Caseros","2. 0,51-0,99  personas por cuarto",2052,83
"018112","Monte Caseros","3. 1,00-1,49  personas por cuarto",3365,297
"018112","Monte Caseros","4. 1,50-1,99  personas por cuarto",1184,89
"018112","Monte Caseros","5. 2,00-3,00  personas por cuarto",1520,177
"018112","Monte Caseros","6. Más de 3,00  personas por cuarto",238,33
"018119","Paso de los Libres","0. __tot__",13518,1289
"018119","Paso de los Libres","1. Hasta  0,50  personas por cuarto",3763,376
"018119","Paso de los Libres","2. 0,51-0,99  personas por cuarto",2550,143
"018119","Paso de los Libres","3. 1,00-1,49  personas por cuarto",3896,440
"018119","Paso de los Libres","4. 1,50-1,99  personas por cuarto",1413,92
"018119","Paso de los Libres","5. 2,00-3,00  personas por cuarto",1633,203
"018119","Paso de los Libres","6. Más de 3,00  personas por cuarto",263,35
"018126","Saladas","0. __tot__",5128,324
"018126","Saladas","1. Hasta  0,50  personas por cuarto",1147,57
"018126","Saladas","2. 0,51-0,99  personas por cuarto",889,17
"018126","Saladas","3. 1,00-1,49  personas por cuarto",1660,102
"018126","Saladas","4. 1,50-1,99  personas por cuarto",656,25
"018126","Saladas","5. 2,00-3,00  personas por cuarto",685,89
"018126","Saladas","6. Más de 3,00  personas por cuarto",91,34
"018133","San Cosme","0. __tot__",5176,38
"018133","San Cosme","1. Hasta  0,50  personas por cuarto",1307,9
"018133","San Cosme","2. 0,51-0,99  personas por cuarto",810,4
"018133","San Cosme","3. 1,00-1,49  personas por cuarto",1697,12
"018133","San Cosme","4. 1,50-1,99  personas por cuarto",617,4
"018133","San Cosme","5. 2,00-3,00  personas por cuarto",643,8
"018133","San Cosme","6. Más de 3,00  personas por cuarto",102,1
"018140","San Luis del Palmar","0. __tot__",3753,120
"018140","San Luis del Palmar","1. Hasta  0,50  personas por cuarto",746,16
"018140","San Luis del Palmar","2. 0,51-0,99  personas por cuarto",662,7
