"Código","Departamento","Hacinamiento","Casa_A","viv_Departamento"
"010007","Ambato","0. __tot__",1465,15
"010007","Ambato","1. Hasta  0,50  personas por cuarto",530,6
"010007","Ambato","2. 0,51-0,99  personas por cuarto",227,0
"010007","Ambato","3. 1,00-1,49  personas por cuarto",383,3
"010007","Ambato","4. 1,50-1,99  personas por cuarto",134,0
"010007","Ambato","5. 2,00-3,00  personas por cuarto",171,6
"010007","Ambato","6. Más de 3,00  personas por cuarto",20,0
"010014","Ancasti","0. __tot__",663,4
"010014","Ancasti","1. Hasta  0,50  personas por cuarto",174,2
"010014","Ancasti","2. 0,51-0,99  personas por cuarto",129,0
"010014","Ancasti","3. 1,00-1,49  personas por cuarto",188,1
"010014","Ancasti","4. 1,50-1,99  personas por cuarto",58,0
"010014","Ancasti","5. 2,00-3,00  personas por cuarto",96,0
"010014","Ancasti","6. Más de 3,00  personas por cuarto",18,1
"010021","Andalgalá","0. __tot__",5030,153
"010021","Andalgalá","1. Hasta  0,50  personas por cuarto",1451,46
"010021","Andalgalá","2. 0,51-0,99  personas por cuarto",872,9
"010021","Andalgalá","3. 1,00-1,49  personas por cuarto",1431,56
"010021","Andalgalá","4. 1,50-1,99  personas por cuarto",600,9
"010021","Andalgalá","5. 2,00-3,00  personas por cuarto",588,26
"010021","Andalgalá","6. Más de 3,00  personas por cuarto",88,7
"010028","Antofagasta de la Sierra","0. __tot__",456,9
"010028","Antofagasta de la Sierra","1. Hasta  0,50  personas por cuarto",137,2
"010028","Antofagasta de la Sierra","2. 0,51-0,99  personas por cuarto",62,0
"010028","Antofagasta de la Sierra","3. 1,00-1,49  personas por cuarto",132,5
"010028","Antofagasta de la Sierra","4. 1,50-1,99  personas por cuarto",62,0
"010028","Antofagasta de la Sierra","5. 2,00-3,00  personas por cuarto",57,2
"010028","Antofagasta de la Sierra","6. Más de 3,00  personas por cuarto",6,0
"010035","Belén","0. __tot__",7369,435
"010035","Belén","1. Hasta  0,50  personas por cuarto",2066,122
"010035","Belén","2. 0,51-0,99  personas por cuarto",1313,28
"010035","Belén","3. 1,00-1,49  personas por cuarto",2152,140
"010035","Belén","4. 1,50-1,99  personas por cuarto",867,58
"010035","Belén","5. 2,00-3,00  personas por cuarto",857,81
"010035","Belén","6. Más de 3,00  personas por cuarto",114,6
"010042","Capayán","0. __tot__",4290,45
"010042","Capayán","1. Hasta  0,50  personas por cuarto",979,10
"010042","Capayán","2. 0,51-0,99  personas por cuarto",695,0
"010042","Capayán","3. 1,00-1,49  personas por cuarto",1279,15
"010042","Capayán","4. 1,50-1,99  personas por cuarto",550,3
"010042","Capayán","5. 2,00-3,00  personas por cuarto",665,12
"010042","Capayán","6. Más de 3,00  personas por cuarto",122,5
"010049","Capital","0. __tot__",48032,6040
"010049","Capital","1. Hasta  0,50  personas por cuarto",13247,2067
"010049","Capital","2. 0,51-0,99  personas por cuarto",9065,561
"010049","Capital","3. 1,00-1,49  personas por cuarto",14066,2064
"010049","Capital","4. 1,50-1,99  personas por cuarto",5076,402
"010049","Capital","5. 2,00-3,00  personas por cuarto",5813,836
"010049","Capital","6. Más de 3,00  personas por cuarto",765,110
"010056","El Alto","0. __tot__",1029,12
"010056","El Alto","1. Hasta  0,50  personas por cuarto",266,5
"010056","El Alto","2. 0,51-0,99  personas por cuarto",162,1
